,ax,ay,az,gx,gy,gz,action
278,1.46,3.3,11.63,-2.85,-35.76,19.91,grenade
279,0.09,3.86,9.62,-12.58,-12.04,16.23,grenade
280,1.36,-1.59,2.42,-209.91,-259.02,149.79,grenade
281,2.7,-6.28,1.85,-286.73,-296.82,212.67,grenade
282,6.5,-10.7,4.02,-245.56,-325.49,270.98,grenade
283,9.74,-17.43,2.87,-206.55,-322.68,290.96,grenade
284,11.03,-17.38,-2.27,-63.37,266.6,294.67,grenade
285,15.61,-22.08,-1.76,-89.02,308.58,286.44,grenade
286,10.38,-21.92,-3.04,23.16,-148.44,268.83,grenade
287,14.32,-18.63,-2.34,-24.04,-193.78,243.39,grenade
288,16.92,-16.56,1.89,-0.15,-26.87,145.94,grenade
289,9.11,-10.61,-1.88,79.48,-22.69,-23.72,grenade
290,5.28,-9.05,-2.23,-15.32,46.29,-24.69,grenade
291,2.58,-10.03,-2.06,-6.85,99.75,-7.05,grenade
292,0.19,-9.75,-2.23,11.64,31.61,-36.83,grenade
293,-0.43,-9.06,-2.07,-9.7,30.56,-21.69,grenade
294,-0.38,-10.29,-1.0,-16.4,15.64,-9.85,grenade
295,0.53,-10.07,-0.76,3.83,53.13,1.15,grenade
296,0.18,-9.88,-0.2,5.44,98.47,4.82,grenade
297,-0.47,-10.35,0.21,9.4,85.94,5.56,grenade
298,-0.38,-9.85,-0.09,1.38,27.37,5.75,grenade
299,0.79,-9.97,-0.17,-9.73,-3.09,6.04,grenade
300,0.98,-9.96,-0.47,-7.17,10.4,4.51,grenade
301,1.09,-10.04,-0.59,2.06,13.24,5.26,grenade
302,1.11,-9.98,-0.87,8.6,22.44,6.25,grenade
303,1.0,-10.02,-1.01,7.21,33.73,2.45,grenade
304,0.58,-9.79,-0.87,1.86,21.79,0.19,grenade
305,0.78,-9.91,-0.56,1.25,16.69,1.22,grenade
306,0.63,-9.92,-0.5,3.05,24.52,0.47,grenade
307,0.46,-9.8,-0.5,-0.71,16.61,1.63,grenade
308,0.47,-9.97,-0.33,-3.05,5.44,3.41,grenade
309,0.69,-9.95,-0.29,-0.21,8.16,-0.27,grenade
310,0.8,-9.99,-0.2,-1.17,5.47,-0.53,grenade
311,0.49,-10.03,-0.12,1.57,8.42,1.05,grenade
312,0.74,-9.9,-0.32,2.13,7.08,2.8,grenade
313,0.67,-9.97,-0.37,-3.47,-7.32,1.28,grenade
314,0.84,-10.06,-0.25,3.14,6.21,1.93,grenade
315,4.3,0.38,15.73,-155.34,-18.8,325.4,grenade
316,5.06,-1.46,10.56,-157.03,-17.7,-320.46,grenade
317,2.21,-6.73,4.39,-183.37,-2.21,315.46,grenade
318,-4.29,-3.8,-7.07,-252.68,28.53,-319.92,grenade
319,-8.33,1.0,-14.57,314.14,-25.13,-233.7,grenade
320,-12.2,2.39,-19.99,133.72,-54.66,-101.49,grenade
321,-10.83,1.71,-19.56,-87.25,-62.76,96.77,grenade
322,-8.83,2.39,-17.86,-326.62,-86.02,241.52,grenade
323,-6.67,-9.32,-9.66,155.33,34.47,-308.32,grenade
324,-0.75,-29.41,1.31,155.33,37.5,293.51,grenade
325,6.27,-18.77,9.17,-224.85,-6.07,215.31,grenade
326,13.6,-4.85,18.12,-84.72,-163.83,277.68,grenade
327,1.93,5.45,8.33,118.06,37.9,-61.13,grenade
328,0.22,5.56,6.31,47.07,-134.63,-138.53,grenade
329,-4.75,7.06,4.56,30.56,212.02,-46.22,grenade
330,-6.03,8.74,4.73,-120.05,25.25,32.88,grenade
