,ax,ay,az,gx,gy,gz,action
380,1.78,-4.05,2.6,-249.63,-312.54,48.06,grenade
381,3.72,-5.3,1.9,-119.53,-283.43,114.81,grenade
382,9.01,-9.09,-0.78,-92.13,-325.6,161.02,grenade
383,14.84,-12.87,-1.49,-36.01,-265.23,208.14,grenade
384,13.67,-11.54,-3.72,26.46,-209.42,163.29,grenade
385,13.94,-16.59,-7.72,-155.34,234.69,202.98,grenade
386,8.48,-18.31,-8.92,-155.34,313.31,190.15,grenade
387,1.04,-18.43,-9.9,-155.34,-286.26,230.68,grenade
388,-8.15,-18.53,-16.81,-155.34,273.9,-322.81,grenade
389,-11.59,-10.47,-27.25,-155.34,59.6,-253.65,grenade
390,-12.12,1.06,-27.3,-259.63,-126.35,-69.46,grenade
391,-13.83,-6.95,-14.99,116.93,7.88,-28.62,grenade
392,-15.35,-2.82,-22.17,223.87,-144.81,181.09,grenade
393,-6.73,-3.96,-18.93,132.53,-236.39,315.43,grenade
394,-2.82,-4.19,-15.79,-42.94,-106.82,-307.6,grenade
395,-1.42,-3.91,-12.79,-203.26,-81.68,-281.53,grenade
396,1.26,-9.99,-8.89,269.47,-148.29,-265.41,grenade
397,2.86,-9.54,-8.42,-320.01,-131.73,-273.58,grenade
398,4.92,-18.31,-7.66,155.33,-95.98,-271.44,grenade
399,5.03,-17.47,-2.46,189.17,40.89,324.87,grenade
400,2.76,-22.06,3.25,155.33,149.96,270.43,grenade
401,1.55,-17.68,11.4,-231.55,48.14,179.82,grenade
402,9.58,-9.35,21.83,-80.72,-227.03,55.11,grenade
403,7.76,-10.62,24.12,-226.54,199.18,67.05,grenade
404,-5.49,-3.01,22.31,9.06,132.83,-8.83,grenade
405,3.19,-5.85,24.0,-82.84,-146.2,2.1,grenade
406,2.48,-4.32,20.92,32.18,66.12,-1.99,grenade
407,-0.45,-3.67,15.32,69.92,-33.46,-28.26,grenade
408,0.65,-2.91,11.37,92.46,-103.76,-52.37,grenade
409,1.21,-2.49,7.43,61.1,-32.96,-39.0,grenade
410,0.87,-2.24,3.26,8.28,14.57,-18.05,grenade
